#{"t_start": 1789427883.1638968, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
370.0,2617,1917.68302
280.0,2661,1930.10642
295.0,2761,1943.22019
350.0,4366,1962.285607
565.0,3361,1977.282627
155.0,2423,1987.755164
135.0,1883,1995.790755
575.0,3145,2009.267633
80.0,1631,2016.395482
145.0,1593,2023.217967
220.0,2445,2033.552034
210.0,2475,2045.281758
285.0,2207,2055.234712
305.0,2549,2066.112945
230.0,3407,2081.189172
135.0,1897,2089.411025
340.0,3265,2103.493705
120.0,1519,2110.208803
220.0,2023,2119.509434
75.0,1047,2123.808712
150.0,1877,2131.737495
660.0,4596,2151.873763
80.0,1447,2158.535844
230.0,2549,2169.672599
325.0,3633,2185.870887
160.0,1915,2194.1912
205.0,2455,2205.187255
440.0,2931,2217.758962
165.0,1975,2226.564578
160.0,1983,2235.104484
250.0,3209,2248.783951
325.0,2781,2261.05613
135.0,1981,2269.728494
90.0,1105,2274.382901
140.0,2009,2283.270705
60.0,1553,2289.870396
165.0,2621,2302.015339
310.0,2395,2312.205971
265.0,2757,2324.444762
130.0,1895,2332.570088
240.0,2709,2344.145273
185.0,1877,2352.37766
265.0,2535,2363.140946
175.0,1905,2371.088522
140.0,1851,2379.077111
460.0,3091,2392.360049
175.0,1959,2400.755424
290.0,3347,2415.074234
315.0,2367,2425.377978
1010.0,4569,2444.93389
265.0,3043,2457.986058
175.0,1919,2466.503307
300.0,2879,2479.754654
50.0,1547,2486.120669
845.0,3853,2502.969211
50.0,1219,2507.979133
120.0,2113,2516.952011
375.0,3241,2530.916138
265.0,3169,2544.833777
270.0,3379,2559.245614
185.0,2077,2568.047567
275.0,2705,2579.895889
495.0,3221,2593.614006
375.0,2959,2606.106511
420.0,3031,2619.479744
250.0,3073,2632.483191
80.0,1191,2637.384542
155.0,1851,2645.33156
65.0,1165,2650.649735
450.0,2773,2663.395932
195.0,2717,2674.893423
310.0,3537,2690.374472
245.0,2647,2701.807825
415.0,3547,2717.144922
315.0,2807,2729.758077
175.0,2333,2739.84392
380.0,3175,2753.527397
90.0,1521,2759.971419
95.0,1871,2768.307296
315.0,2515,2779.052427
290.0,2829,2790.963912
395.0,3067,2822.666669
900.0,5173,2845.563797
105.0,1121,2850.253569
195.0,2211,2859.870191
110.0,2361,2869.783018
40.0,1133,2874.446995
80.0,1175,2879.397804
235.0,2443,2890.012733
210.0,2909,2902.258077
205.0,1899,2910.050831
60.0,1153,2915.069684
170.0,2183,2924.411638
85.0,1623,2931.092817
205.0,2211,2940.528183
230.0,3675,2956.209599
565.0,3284,2970.392022
125.0,1945,2978.607267
160.0,2011,2987.440934
250.0,2117,2996.408014
65.0,1909,3004.590029
135.0,1491,3011.123112
275.0,2835,3024.011033
375.0,3253,3037.778504
275.0,3399,3052.600537
335.0,2697,3064.444455
95.0,1857,3072.32613
185.0,2407,3082.449575
425.0,2201,3092.305912
310.0,2501,3103.355655
680.0,3543,3118.438208
260.0,3153,3132.231611
325.0,3343,3146.56884
220.0,1869,3154.26483
425.0,4249,3172.887079
230.0,2137,3181.980548
235.0,2711,3193.506222
185.0,2447,3204.745626
165.0,2057,3213.845722
430.0,4025,3230.865443
105.0,1111,3235.493155
150.0,1483,3242.08341
245.0,2041,3250.661935
170.0,1901,3258.685294
240.0,1881,3267.11966
235.0,3087,3280.339099
205.0,1963,3288.69054
215.0,1823,3296.483138
445.0,4623,3316.554664
135.0,1927,3324.620929
125.0,1479,3330.807805
125.0,1885,3339.23647
275.0,2519,3350.083242
115.0,1835,3361.242231
225.0,2439,3372.449172
165.0,2195,3383.009902
200.0,1825,3391.120172
190.0,1863,3399.249753
355.0,3637,3415.964233
105.0,1521,3423.61496
150.0,1841,3432.281676
145.0,1833,3441.493819
195.0,2895,3455.863935
315.0,3465,3472.969408
180.0,2949,3487.93588
210.0,2337,3499.276996
300.0,2517,3511.356484
450.0,2887,3525.604562
330.0,2749,3539.416658
110.0,1525,3546.881972
315.0,2235,3557.746863
95.0,1497,3566.05118
180.0,1869,3575.312732
180.0,1917,3584.772717
100.0,1161,3590.205069
110.0,1491,3597.905587
110.0,1843,3606.936676
75.0,1529,3614.237767
160.0,1869,3623.617679
410.0,4925,3647.818465
175.0,2781,3661.306015
125.0,1813,3670.466911
550.0,3025,3685.383794
110.0,1501,3692.386562
185.0,1867,3701.50639
215.0,1905,3711.347972
595.0,3011,3726.305033
595.0,3291,3742.901353
220.0,2627,3754.044564
110.0,1449,3759.984337
190.0,1871,3767.803335
170.0,2907,3780.22582
795.0,3253,3793.893846
185.0,2859,3805.771937
280.0,1833,3813.152429
170.0,2045,3821.784444
