#{"t_start": 1789427883.277446, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
1435.0,5875,41171.332797
600.0,3547,41173.226813
605.0,4251,41175.488897
995.0,6077,41178.726747
1190.0,7143,41182.51765
570.0,3529,41184.374258
215.0,2169,41185.502252
940.0,6151,1431.068947
775.0,3535,1433.447017
425.0,2371,1434.991312
600.0,4595,1437.679691
550.0,3152,1439.46691
770.0,3945,1441.821348
805.0,3611,1443.916603
610.0,3379,1445.895487
465.0,3563,1448.004446
585.0,3137,1449.768529
620.0,2723,3141.858541
1005.0,3649,3143.956724
525.0,4189,3146.411698
390.0,3207,3148.309897
260.0,3355,3150.328552
425.0,2941,3152.049635
550.0,3549,3154.122004
745.0,3486,3156.045616
545.0,3401,3158.061646
715.0,4583,3160.80726
600.0,4561,4856.909786
745.0,3681,4859.009382
610.0,2779,4860.741165
690.0,3167,4862.571364
570.0,3904,4864.809895
580.0,3239,4866.677543
425.0,2613,4868.193863
545.0,4185,4870.659708
575.0,3615,4872.735559
570.0,3370,4874.608752
605.0,3619,6583.192781
600.0,3393,6585.110668
1095.0,5899,6588.530911
745.0,5353,6591.76172
775.0,3632,6593.814243
570.0,3401,6595.810469
1150.0,5897,6599.293488
1055.0,5749,6602.659971
570.0,3326,6604.459816
500.0,3805,6606.747303
775.0,3089,8309.398429
575.0,4333,8311.947163
1040.0,6369,8315.689677
600.0,3655,8317.853287
800.0,3237,8319.696163
545.0,3365,8321.662198
600.0,3137,8323.52245
520.0,3168,8325.428558
540.0,3619,8327.52466
575.0,3502,8329.609671
575.0,4391,10034.61942
575.0,3875,10036.859144
525.0,3465,10038.845245
260.0,2001,10040.055249
600.0,3703,10042.299845
775.0,2937,10044.0567
575.0,4055,10046.395733
570.0,2761,10048.034207
800.0,4111,10050.370351
600.0,3857,10052.626601
570.0,4240,11754.434237
490.0,3179,11756.268289
600.0,4025,11758.633287
540.0,3322,11760.574115
605.0,3365,11762.626498
1160.0,6039,11766.067024
570.0,3256,11767.917398
700.0,3441,11769.915696
600.0,4069,11772.33303
600.0,3885,11774.648363
505.0,2817,13483.596652
600.0,3265,13485.52108
575.0,4183,13487.92716
775.0,4234,13490.380238
555.0,3627,13492.581239
740.0,4285,13495.051182
605.0,3133,13496.91092
600.0,3827,13499.113913
570.0,3512,13501.148247
1215.0,6821,13505.28028
555.0,3771,15205.816721
895.0,5109,15208.89633
755.0,3528,15211.020016
550.0,3767,15213.273737
570.0,3917,15215.553403
600.0,3815,15217.756243
745.0,3758,15219.959685
575.0,3671,15222.154439
540.0,3779,15224.422413
750.0,3959,15226.758475
575.0,3052,16939.975177
600.0,4329,16942.458062
605.0,3627,16944.574232
575.0,3314,16946.528504
1375.0,7286,16950.818146
775.0,3335,16952.671856
545.0,3792,16954.910294
600.0,3365,16956.824325
570.0,3639,16959.26869
570.0,3870,16962.10811
785.0,4939,18658.818435
555.0,4413,18661.321928
540.0,2924,18662.994238
690.0,3737,18665.179777
575.0,3081,18666.894875
545.0,3159,18668.779188
575.0,3111,18670.541003
605.0,3221,18672.432518
950.0,5749,18675.688167
800.0,3761,18677.837438
575.0,3244,20377.853372
845.0,5435,20381.019014
470.0,2945,20382.743583
600.0,2761,20384.341319
570.0,3679,20386.467479
545.0,3301,20388.424126
540.0,3523,20390.434542
1020.0,5663,20393.834949
570.0,3273,20395.80134
550.0,3695,20397.915288
575.0,2533,22097.089219
540.0,3914,22099.38994
700.0,3009,22101.116041
800.0,3695,22103.294416
720.0,3719,22105.548142
1210.0,6007,22109.080915
575.0,3316,22110.9625
570.0,3372,22113.131599
555.0,4159,22115.631896
605.0,3123,22117.431763
490.0,3393,23815.77849
540.0,3252,23817.657047
600.0,3949,23819.98626
545.0,3161,23821.779803
600.0,3899,23824.051125
570.0,3872,23826.212806
540.0,3570,23828.356653
1175.0,6605,23832.260458
1430.0,7163,23836.361247
340.0,2357,23837.755713
1355.0,6485,25542.043714
490.0,2999,25543.876807
600.0,3333,25545.809927
575.0,3116,25547.654803
490.0,3077,25549.400733
515.0,3360,25551.359174
1000.0,3453,25553.379185
600.0,3859,25555.659451
600.0,3931,25557.864205
605.0,3257,25559.805681
1245.0,5765,27260.439313
570.0,3450,27262.473912
545.0,3085,27264.209811
770.0,3720,27266.423818
1070.0,6881,27270.443677
545.0,3639,27272.588983
555.0,3115,27274.440254
500.0,2721,27276.034589
600.0,3237,27277.973645
540.0,3383,27279.912743
705.0,3329,28976.171865
600.0,3093,28977.937047
325.0,2267,28979.306192
600.0,3117,28981.091449
1350.0,5902,28984.554381
615.0,3257,28986.421118
575.0,2775,28988.094555
600.0,3157,28989.859586
605.0,3061,28991.603304
550.0,3052,28993.406096
550.0,3330,30691.452171
365.0,2991,30693.218656
570.0,4093,30695.678512
545.0,4113,30698.092155
600.0,3917,30700.33109
545.0,4140,30702.753094
1435.0,8259,30707.570479
1710.0,7123,30711.665806
770.0,4283,30714.200881
600.0,4181,30716.633907
495.0,3773,32416.78221
715.0,3680,32418.90147
955.0,4765,32421.668463
570.0,3236,32423.591314
1225.0,6991,32427.861866
750.0,3979,32430.131914
1390.0,5447,32433.330364
570.0,4103,32435.723131
890.0,4571,32438.33469
865.0,4665,32441.143254
1405.0,7217,34130.005968
610.0,3345,34132.008054
525.0,3232,34133.878528
1065.0,5689,34137.19982
575.0,3273,34139.168149
600.0,3857,34141.378585
460.0,3551,34143.476874
575.0,4137,34145.895949
540.0,3322,34147.80302
550.0,3429,34149.793494
570.0,3322,35835.609395
545.0,3191,35837.493696
1025.0,5337,35840.611285
545.0,3801,35842.87173
600.0,3613,35844.943832
540.0,3654,35847.042031
540.0,2746,35848.642606
575.0,3208,35850.51018
600.0,3505,35852.54798
800.0,3907,35854.82607
545.0,2704,37539.812352
725.0,2923,37541.544514
495.0,2879,37543.228198
1125.0,7021,37547.275283
600.0,3263,37549.158648
800.0,3181,37550.903986
575.0,3422,37552.913017
770.0,3109,37554.694074
1150.0,7137,37558.811731
605.0,3173,37560.657869
545.0,3329,39252.405227
600.0,3393,39254.408033
1100.0,6151,39257.954714
1055.0,6127,39261.455137
570.0,3719,39263.590063
600.0,2983,39265.382275
800.0,3665,39267.455802
540.0,3355,39269.420295
575.0,3475,39271.408242
600.0,3257,39273.346296
570.0,3991,40952.632816
570.0,3631,40954.662402
545.0,2848,40956.288568
1295.0,6829,40960.16549
1020.0,6063,40963.714773
800.0,3727,40965.832242
575.0,3361,40967.838519
600.0,3293,40969.684772
600.0,3943,40971.97951
570.0,3609,40974.032402
570.0,3273,42658.316771
610.0,3205,42660.131041
780.0,3444,42662.147386
745.0,3673,42664.24599
440.0,2901,42665.98732
1375.0,7679,42670.340882
720.0,3661,42672.399378
575.0,3180,42674.209077
570.0,4110,42676.477314
570.0,3045,42678.296538
600.0,3449,44376.721219
575.0,2889,44378.442084
570.0,4589,44381.039595
800.0,3385,44383.046519
540.0,3187,44384.879273
610.0,3677,44387.046485
545.0,3123,44388.846722
540.0,3358,44390.830482
570.0,3714,44393.020326
515.0,3563,44395.029968
1040.0,6423,46094.232683
600.0,3605,46096.31691
570.0,3847,46098.586006
1130.0,7203,46102.878367
600.0,3601,46104.98325
1525.0,7549,46109.370404
600.0,3489,46111.365248
605.0,3753,46113.567207
555.0,3485,46115.551327
575.0,3537,46117.614825
600.0,3589,47826.010381
600.0,3081,47827.731098
540.0,3483,47829.758579
540.0,2981,47831.507403
570.0,2995,47833.212087
